name,2hmag,2jmag,2kmag,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err,NAME,absrmag,absrmagcorr,ariii7135_flux,ariii7135_flux_err,b_a,b_a_deconv1,b_a_deconv2c,b_a_deconv2e,b_a_innerdisk,ccb,ccr,ccr_bary,ccr_lum,ccr_star,centralout,confused,cz,dedeg,den1mpc,dgr,dist2d_nn1,dist2d_nn2,dist2d_nn3,e_2hmag,e_2jmag,e_2kmag,e_fuvmag,e_gmag,e_imag,e_nuvmag,e_rmag,e_uhmag,e_ukmag,e_umag,e_uvm2mag,e_uymag,e_zmag,eb_a,eb_a_innerdisk,econame,ehiasym,emhi,emhi_corr_rand,emhi_corr_sys,emhi_rand_corr,emhi_sys_corr,ew20,ew50,extfuv,extg,exth,exti,extj,extk,extnuv,extr,extu,extuvm2,exty,extz,f_a,f_b,fa,fc,fg,fl_insample,flux_ratio_2c,fm16,fsmgr_ave,fsmgr_med,fuvmag,gmag,grp,grpabsrmag,grpcz,grpmb,grpms,grpn,grpnassoc,grprproj,grprproj_stack,grpsig,grpsig_stack,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,hei_5876_flux,hei_5876_flux_err,hiasym,hitelescope,imag,kin_blue_code,kin_done_blue,kin_done_hi,kin_done_red,kin_ifu_flag,kin_red_code,kin_slit_flag,limflag,logmbary_pc,logmgas,logmh,logmh_dyn,logmh_dyn_smooth,logmh_dyn_stack,logmh_s,logmstar,logmstar_16,logmstar_84,logmstare15,meanfsmgr,meanfsmgre15,mhi,mhi_corr,modelg_i,modelg_icorr,modelg_j,modelg_jcorr,modelg_k,modelg_kcorr,modelg_r,modelg_rcorr,modelu_i,modelu_icorr,modelu_j,modelu_jcorr,modelu_k,modelu_kcorr,modelu_r,modelu_rcorr,morph,morphel,mu_delta,neiii_3869_flux,neiii_3869_flux_err,nii_6548_flux,nii_6548_flux_err,nii_6584_flux,nii_6584_flux_err,nuvmag,oi_6300_flux,oi_6300_flux_err,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,oii_flux,oii_flux_err,oiii_4363_flux,oiii_4363_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,oiii_flux,oiii_flux_err,peaksnhi,r50,r50_deconv1,r50_deconv2c,r50_deconv2e,r90,radeg,resname,rmag,sdss_dr10_objid,sdss_dr10_specid,sdss_dr12_objid,sdss_dr12_specid,sdss_dr7_objid,sdss_dr7_specid,sfr_nuv,sfr_nuv_wise,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,uhmag,ukmag,umag,uvm2mag,uymag,vdisp,vrot,w20,w50,zmag
rf0138,10.13,10.95,9.92,0.0,0.0,11427.573295808983,165.7423,6645.149683237475,114.6053,192.82134352070426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3435.4750619461774,105.2115,7424.577328661774,71.29366,21736.934355349913,209.6872,3268.4613318429956,70.67061,159.87559498548987,76.26331,2992.236130603731,38.8724,8429.168644885212,111.064,19043.572978287113,0.0,24667.72210519916,1976.7679999999998,3954.0975152403553,122.2421,4701.348716510211,205.3656,2999.764583245525,145.1729,rf0138,-21.76,-21.9441,-96.44187320165013,27.10715,0.7,0.7339,0.7545,0.6798,0.8788739999999999,,1.0,-99.0,-99.0,-99.0,0.0,1,5375.0,-0.2901077,,-0.04,0.068851,0.080223,0.088989,0.11,0.1,0.06,5.794,0.02,0.02,0.05,0.02,-99.0,-99.0,0.08,-99.0,-99.0,0.03,0.0732,0.0652593,notineco,0.0331279,123766000.0,121021000.0,290731000.0,,,0.0,11.937000000000001,0.2686,0.13,0.02,0.07,0.03,0.01,0.3,0.09,0.17,0.31,0.04,0.05,0.0,1.0,,0,,1.0,0.532191,,,,19.0395,13.59,89.0,-22.891,5402.83,11.3935,11.3705,5.0,9.0,0.211954,0.208472,163.05100000000002,175.356,5233.493660504815,54.1992,1829.8928882883968,21.697589999999998,277.9014394453879,13.1727,654.2434402113968,15.547979999999999,-204.23712608396494,18.72397,0.07490880000000001,GBT,12.31,11000.0,1,0,0,0.0,0.0,1.0,0,10.985,9.51581,13.1479,0.0,13.2954,0.0,13.3099,10.97,10.91,10.99,10.95,0.0131582,0.06621339999999999,1286250000.0,964366000.0,1.13005,0.996664,2.57992,2.3893400000000002,3.5215,3.3022699999999996,0.767616,0.6725939999999999,2.7498099999999996,2.4647799999999997,4.199669999999999,3.85745,5.14126,4.77038,2.38737,2.14071,-1.5,E,10.2755,1144.3157550421524,12.6957,3395.805962078525,18.92991,10195.604859096113,57.09692,17.83,1718.7214679244657,29.882209999999997,393359203494.7471,275000000000.0,-3021790620.7572727,2090000000.0,38591.45,321222.1,-26.182446000373886,15.909629999999998,658.3733360366109,21.45437,2836.8031811067094,23.91678,1069.165,28.93836,4.29396,11.34,17.1073,6.0981,43.3993,57.28,18.20249,,12.75,1.237663783668482e+18,4.4701225480673075e+17,1.237663783668482e+18,4.4701225480673075e+17,5.8801550874044e+17,1.119680197474386e+17,0.64515541,1.238164,1968.4280833866392,34.75251,1967.9061520861176,35.042559999999995,-99.0,-99.0,15.29,-99.0,-99.0,0.0,0.0,320.46299999999997,335.523,11.98
rf0166,10.12,10.85,9.92,0.0,0.0,608.4698813000057,12.95348,111.67668066899842,9.430378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.2828655092739,4.038464,1210.8395100903476,11.877839999999999,132.4331057122285,8.833008,0.0,0.0,85.55522919994804,3.9653110000000003,241.54557968875056,11.329460000000001,-33189.13987779365,0.0,-33170.0514577681,0.0,160.9200704323802,11.91413,442.4364816844367,11.86518,327.2463437360922,13.99966,rf0166,-21.91,-22.0385,-53.28071357425087,7.968710000000001,0.91,0.6988,0.8132,0.6427,0.910091,,1.0,-99.0,-99.0,-99.0,0.0,0,5320.5,-0.54432577,,-0.12,0.36444,0.51959,0.55637,0.38,0.17,0.06,0.0398,0.02,0.02,0.02,0.02,0.13,0.02,0.05,-99.0,-99.0,0.03,0.0505,0.050468400000000004,notineco,0.0982706,215881000.0,0.0,0.0,,,0.0,4.49529,0.3447,0.16,0.02,0.09,0.04,0.02,0.39,0.12,0.22,0.4,0.05,0.06,0.0,1.0,,1,,1.0,0.18469000000000002,,,,17.2265,13.33,110.0,-21.9091,5320.5,10.9165,10.9065,1.0,1.0,0.0,0.0,0.0,0.0,725.7296849599065,9.616488,253.75163809786943,5.8814779999999995,64.25132037909523,5.042961,112.99166353175426,5.152173,-23.57807518779385,6.072585,0.0228398,GBT,12.21,0.0,0,0,0,0.0,0.0,0.0,0,10.905,9.49297,12.3739,0.0,0.0,0.0,12.4679,10.89,10.81,10.95,10.89,0.0218087,0.023059700000000002,2222480000.0,0.0,0.97131,0.859468,2.23678,2.08672,3.10316,2.93213,0.652834,0.571239,2.3415,2.09953,3.6069699999999996,3.3267800000000003,4.47335,4.1722,2.0230200000000003,1.8113099999999998,3.0,L,9.16717,55.41892666404423,5.743571,463.6499001427086,3.982128,1393.0705406321954,12.011,16.68,178.57166530904507,8.292937,0.0,-0.7558438000000001,0.0,-0.7558438000000001,0.0,1.068925,6.483873911683877,6.735964999999999,107.40397816865823,7.139728,323.75644569651377,7.395683999999999,130.74,8.568822,7.069839999999999,21.98,231.36900000000003,6.3668,89.3247,57.77,20.319466000000002,,12.61,1.2376663386537329e+18,7.83690693653588e+17,1.2376663386537329e+18,7.83690693653588e+17,5.87731512069587e+17,1.9613082071964058e+17,1.5688798000000002,2.46258,501.44636425944486,9.749627,335.6741981431991,9.303741,10.39,10.13,14.81,-99.0,-99.0,0.0,0.0,80.6758,63.5435,11.95
rf0372,11.24,11.9,10.97,0.0,0.0,20450.916301527228,114.5531,9098.684767885348,56.15935,2262.4633658497337,38.8573,0.0,0.0,2130.6641217157467,36.690290000000005,682.4929428615264,32.05953,4572.852125335454,46.41768,6818.483291557472,36.68554,19941.613687077257,107.8987,7618.734991706568,74.8869,340.64240749011293,53.22145,11940.218747200819,49.69212,33527.671878843845,141.9775,19033.16099776904,9904.862,4361.210610357869,11091.43,954.9689451291224,38.16888,3494.0377468398638,56.8227,3323.320723088561,55.432430000000004,rf0372,-21.19,-21.6321,279.63916915298836,10.22305,0.59,0.5925,0.6041,0.4073,0.595191,,1.0,-99.0,-99.0,-99.0,0.0,0,6735.4,0.42092388,,-0.06,0.045443,0.11165,0.33284,0.05,0.03,0.06,0.1038,0.02,0.02,0.05,0.02,0.03,0.05,0.03,-99.0,0.15,0.02,0.0184,0.0136892,notineco,0.0,0.0,0.0,0.0,,,0.0,0.0,0.2055,0.1,0.01,0.05,0.02,0.01,0.23,0.07,0.13,0.24,0.03,0.04,0.0,1.0,,1,,1.0,0.772954,,,,19.0741,14.44,253.0,-21.2286,6791.45,10.4655,10.4455,2.0,2.0,0.0229135,0.136287,99.3461,97.415,9187.242861226408,24.78884,3212.3226787504923,11.05361,916.6463000587581,7.547915,1572.2021346927777,8.21785,285.13950675263345,8.284567,0.0,GBT,13.46,0.0,0,0,1,0.0,1000000.0,1.0,1,10.405,9.13594,11.9809,0.0,12.408,0.0,11.9139,10.39,10.23,10.53,10.43,0.27727199999999996,0.20966700000000002,976812000.0,0.0,0.887442,0.5707720000000001,2.3017,1.81123,3.26781,2.6746,0.583076,0.371864,2.30266,1.74879,3.7169199999999996,2.98924,4.6830300000000005,3.8526199999999995,1.9982900000000001,1.54988,2.5,E,9.79933,2143.983774388835,11.62066,2955.4392429232157,7.456205000000001,8864.181253679939,22.48961,17.77,476.9943873075265,9.904117999999999,2863.7624093119225,17.09704,2775.4471665307087,17.14705,974.9119,65.10524000000001,204.90165508504393,8.819625,4410.120971975869,14.653479999999998,12717.756484163985,24.798820000000003,3439.312,24.82742,0.0,6.58,20.7743,9.12,46.5046,23.74,38.255238,,13.8,1.2376664084591414e+18,4.583943996136755e+17,1.2376664084591414e+18,4.583943996136755e+17,5.880155098229638e+17,1.1478288306274304e+17,1.5316524999999999,1.5316524999999999,1594.7315284481572,12.91935,1501.0730489846997,12.734860000000001,11.33,11.0,15.91,-99.0,12.31,0.0,143.17600000000002,0.0,0.0,13.21
ECO05215,13.3979,13.8823,13.2682,582.7640155983577,0.0,824.5450574351747,9.333706,272.67688737724535,6.611238,64.03502941589895,4.650647,0.0,0.0,0.0,0.0,32.959673044428264,4.514881,127.51552737726647,5.785305999999999,48.449100209161244,1.4412209999999999,142.32896294150578,4.238884,31.281266328670743,7.846694,24.70403349802191,27.49659,127.27036790563292,2.334596,362.2694804895169,6.670275,0.0,0.0,0.0,0.0,20.814860418450973,3.964586,149.37534514006168,4.452989,111.01549893689679,4.23071,ECO05215,-19.1019,-19.422,20.599601371134895,2.014595,0.4511,,,,,1.0,1.11348,,,,,0,5361.4,0.5219,0.198615,-0.143057,,,,0.1948,0.0769,0.2271,,0.0238,0.0242,0.0709,0.0239,,,0.0394,,,0.0229,,,,,151743000.0,,,0.0,0.0,,,,0.1437,0.0218,0.079,0.0342,0.0139,0.34742399999999996,0.1042,0.1953,,,0.055999999999999994,,,0.0,1,1.0,,,1.0,1.1431200000000001,0.630957,,15.562000000000001,3986.0,-19.1019,5361.4,9.6885,9.1135,1.0,,0.0,0.0,0.0,0.0,795.0071710987104,7.367157000000001,277.9745353491994,4.324465,73.69793381172312,3.1996330000000004,129.93822787521609,3.440356,26.092195775664166,2.523252,,ALFALFA,14.9938,,,,,,,,0,,9.55768,11.2439,0.0,0.0,0.0,11.1579,9.23,9.01,9.31,9.11,0.794657,1.1431200000000001,2579630000.0,0.0,0.444941,0.346846,1.60627,1.3381399999999999,2.4316,2.05442,0.27577199999999996,0.22414,1.28604,1.36225,2.4473700000000003,2.35354,3.2727,3.06982,1.11687,1.2395399999999999,,L,7.43255,23.698203205683836,3.8657209999999997,45.6610658466153,0.8809626,137.56163552201082,2.657184,17.7078,18.06339105656615,1.9585,0.0,-0.8818579,0.0,-0.8818579,0.0,1.247135,1.8391915527242295,2.779455,122.36816242837003,3.407712,357.4544222699286,5.187743,300.6196,5.204128,,14.6511,,,,28.3503,135.438,rs0012,15.1883,,,,,,,0.36200641,,142.70636017379448,2.9126119999999998,105.09501866020796,2.6401939999999997,,,16.5248,,,,,,,14.8465
ECO05228,11.9461,12.4864,11.1058,0.0,0.0,33971.59569555227,107.5725,19008.37349446842,55.2156,9925.068296152642,51.24815,0.0,0.0,1135.8575257365674,45.353320000000004,1433.5508012563937,42.22878,12921.065354276838,50.967620000000004,7496.80750714909,22.62611,21825.484509752896,66.54738,1711.1926940480698,50.7145,0.0,0.0,2071.179765199258,15.32535,5734.508994482457,43.7867,140521.54120175185,8534.548,39289.734662816285,205.3179,943.6573995859293,36.523540000000004,5821.565856597582,57.86205,4301.480609566051,44.054970000000004,ECO05228,-20.3561,-20.5692,-35.15538214373899,6.792294,0.5082,,,,,1.0,1.18641,,,,,0,6316.69,28.910999999999998,0.78178,-0.181618,,,,0.4305,0.0424,0.391,,0.0207,0.0279,2.85,0.0224,,,0.0285,,,0.0214,,,,,0.0,,,0.0,0.0,,,,0.0914,0.0139,0.0503,0.0217,0.0088,0.22096300000000002,0.0663,0.1242,,,0.0356,,,0.0,1,0.0,,,1.0,0.23699499999999998,0.28183800000000003,,15.2607,3997.0,-20.3561,6316.69,10.2905,10.2625,1.0,,0.0,0.0,0.0,0.0,10361.95635363964,18.16964,3623.061662111763,6.457803,1158.0989090641144,4.684493,1794.7791007076105,4.927325,200.14323775627403,5.629143,,,14.0964,,,,,,,,0,,9.062710000000001,11.5999,0.0,0.0,0.0,11.7499,10.29,10.11,10.35,10.25,0.0313723,0.23699499999999998,0.0,0.0,1.0835,0.8843540000000001,2.5305299999999997,2.33868,3.4688800000000004,3.2823900000000004,0.7363430000000001,0.58053,2.61307,2.2100299999999997,4.0601,3.66436,4.99845,4.60806,2.26591,1.90621,,L,9.51811,407.2415240382905,5.441917,2222.7444618929617,4.369534,6636.228571138313,13.17951,17.9663,381.32919726174964,6.460714,0.0,-0.7503079,-865315575.1334519,16700000.0,-23905.83,2797020.0,-73.8104715379806,4.76207,440.47002543648864,5.353330000000001,1132.0176469936316,5.8374239999999995,100.5783,6.218687999999999,,5.81847,,,,15.0418,137.119,notinresolve,14.4872,,,,,,,0.30151126,,1872.5764611142724,9.205694,1521.2825011586544,9.029721,,,16.7935,,,,,,,13.7804
ECO08934,14.4757,14.7047,13.9503,3.442626918547247,6.775561,154.53137867153717,6.859528,54.502312966218874,4.760349,13.610680172628191,6.234933,0.0,0.0,3.6865005105834148,5.077028,9.110917507979295,5.209621,23.882928691225548,4.458411,12.784577109209293,0.9544603000000002,37.57766683670037,2.807236,8.447501393962929,7.999936999999999,0.0,0.0,12.073720296060856,1.141329,34.4265481059841,3.26094,0.0,0.0,279257851577200.03,29100000000.0,6.338965334618111,2.8573720000000002,42.267470848483946,3.2882269999999996,29.673217443491616,3.375462,ECO08934,-18.7379,-18.9595,6.5497439099169625,7.474107000000001,0.6652,,,,,1.0,1.0798,,,,,0,6219.64,29.8428,0.776335,0.07041739999999999,,,,0.4801,0.4624,0.3201,,0.0222,0.034,0.5819,0.0225,,,0.0494,,,0.0389,,,,,0.0,,,0.0,0.0,,,,0.09699999999999999,0.0147,0.0533,0.0231,0.0094,0.23456799999999997,0.0704,0.1318,,,0.0378,,,0.0,0,0.0,,,1.0,0.210587,0.125893,,16.5439,335.0,-23.9744,6452.74,11.7855,11.7475,16.0,,0.328838,0.310141,260.34,205.017,119.17653889898514,2.205852,41.670118496148646,1.833157,12.528035777796362,2.1111560000000003,17.57837806039556,1.9369669999999999,4.094672239836198,1.693368,,,15.8171,,,,,,,,0,,9.33389,13.8029,13.7094,13.8499,13.4765,13.8289,9.25,9.05,9.39,9.25,0.205875,0.210587,0.0,0.0,0.623135,0.454559,1.7895,1.5336100000000001,2.58704,2.2793200000000002,0.406715,0.293867,1.66467,1.34855,2.8310299999999997,2.42761,3.62857,3.17332,1.44825,1.1878600000000001,,L,8.237630000000001,6.782389209587349,2.745895,9.41868829342382,0.4674439,28.39078906179959,1.409917,18.2026,4.176210615110003,1.270157,0.0,-0.7758321,0.0,-0.7758321,0.0,1.097192,0.15800707998431185,1.884486,4.811468359837839,1.596144,25.21003950736556,1.746405,23.97964,2.044762,,7.35668,,,,17.2077,138.74200000000002,notinresolve,16.0758,,,,,,,0.33296104,,32.31109685304163,1.558937,21.926923036025205,1.8657650000000001,,,17.6389,,,,,,,15.6602
ECO03429,9.7836,10.7656,9.9013,0.0,0.0,39655.67180250414,145.285,18405.652331393107,70.24694000000001,0.0,0.0,0.0,0.0,569.4166052305756,181.5388,597.1485100619694,40.26039,8465.984773822021,58.01631999999999,8840.767132666087,40.72695,25718.909619091562,119.7851,2255.024984799267,38.85745,0.0,0.0,3668.085013743283,27.479509999999998,10132.508623584235,78.51289,79046.80036319372,91677.24,0.0,0.0,1438.3495439061733,59.427640000000004,4985.053439384737,97.45259,3188.182035025857,100.0546,ECO03429,-22.2669,-22.6481,-243.04545724644785,23.2199,0.8239,,,,,1.0,1.0,,,,,0,6282.07,29.7303,0.7796850000000001,-0.065794,,,,0.2881,0.0488,0.1183,,0.1088,0.1009,0.2204,0.0248,,,0.0267,,,0.0636,,,,,0.0,,,0.0,0.0,,,,0.0983,0.0149,0.0541,0.0234,0.0095,0.23770500000000003,0.0713,0.1336,,,0.0383,,,0.0,0,0.0,,,1.0,0.443619,0.28183800000000003,,13.3093,335.0,-23.9744,6452.74,11.7855,11.7475,16.0,,0.328838,0.310141,260.34,205.017,21908.770897895996,43.28188,7660.4094048587385,17.41739,1564.1489216970042,11.34188,3845.1694105907145,12.96461,-362.0047181179225,16.24798,,,12.2704,,,,,,,,0,,9.90812,13.8029,13.7094,13.8499,13.4765,13.8289,10.87,10.65,11.01,10.83,0.1836,0.443619,0.0,0.0,0.9157200000000001,0.647602,2.28304,1.8629,3.21184,2.7115099999999996,0.6101489999999999,0.430054,2.38531,1.89553,3.7526300000000004,3.11084,4.681430000000001,3.95945,2.07974,1.67799,,E,9.87273,1755.6614612389988,13.77695,4685.128806742512,12.12117,13977.465310018606,36.5602,16.7649,988.5089066515404,23.05935,-5363638444461.107,397000000000.0,3656222482.7808685,255000000.0,0.0,1.060532,597.2943804464013,16.81542,1129.2583196821718,19.3511,3399.8328004683613,19.624229999999997,275.1255,23.608320000000003,,11.4892,,,,47.5115,138.749,notinresolve,12.5694,,,,,,,2.8150181,,2739.2342634031247,26.35088,2132.133685652075,26.3518,,,14.8314,,,,,,,12.003
ECO03714,11.4357,12.0274,11.0716,0.0,0.0,278.3668218233358,22.57374,186.34550103281,25.104110000000002,75.41464823755993,30.245179999999998,0.0,0.0,2.893796231396794,13.69752,0.0,0.0,163.17345415888366,29.46555,83.54784961290122,7.700006,246.30930887579882,22.64708,23.61549562931067,41.85752,0.7451928842036669,0.0,58.911586871355304,7.511069,169.5461047063713,21.4602,6.885196623713171e-08,0.0,467.7779204620116,1279.997,42.134918775599,19.851770000000002,80.13383796576177,19.98571,68.50558956743492,19.88575,ECO03714,-20.3899,-20.5469,-26.34490050149067,6.77142,0.7164,,,,,1.0,1.18167,,,,,0,5104.75,0.9453,0.426371,-0.0471764,,,,0.0786,0.0264,0.0928,,0.0205,0.0364,0.1638,0.0358,,,0.1383,,,0.0238,,,,,123885000.0,,,0.0,0.0,,,,0.1038,0.0158,0.0571,0.0247,0.01,0.250922,0.0753,0.141,,,0.0405,,,0.0,0,1.0,,,1.0,0.118148,0.125893,,14.8014,881.0,-22.5142,5087.89,11.2125,11.1565,7.0,,0.152277,0.141438,145.056,119.089,179.5322561054198,8.458536,62.77351612077616,6.246157,15.40404229561307,5.584775,41.28382718597389,5.784044000000001,-12.95664589790578,5.97145,,ALFALFA,13.588,,,,,,,,0,,9.5678,12.8289,0.0,12.7042,12.6636,12.8789,10.31,10.23,10.41,10.33,0.012781,0.118148,2640410000.0,0.0,1.1287399999999999,1.01586,2.58244,2.37875,3.50311,3.29061,0.7751100000000001,0.692608,2.75101,2.53437,4.2047099999999995,3.8972599999999997,5.125380000000001,4.80912,2.39738,2.21112,,E,10.0257,15.86173607084517,5.9318599999999995,46.772025935919444,2.5992040000000003,141.40835858207527,7.83979,19.6275,29.5925254796297,6.769639999999999,0.0,-0.7175494000000001,0.0,-0.7175494000000001,0.0,1.0147680000000001,-4.980184651430791,5.899487000000001,26.734825430595592,6.304886,102.02471108905218,6.990289,179.1954,7.776811,,5.41207,,,,17.4578,139.98,rs0029,14.0064,,,,,,,0.081228645,,65.67360322461928,7.4289190000000005,52.973715237444246,7.305211999999999,,,16.5294,,,,,,,13.31
ECO09347,14.8842,15.6388,13.8693,0.0,0.0,235.3609962193098,9.938739,86.94691872315325,6.608096000000001,24.10196026196612,5.715226,0.0,0.0,2.378161590157188,9264.438,11.471926113918341,5.2617519999999995,39.50295599186016,5.293316,8.964728646017942,1.172023,26.388569458466552,3.4471269999999996,13.434980564284345,5.707121,0.0,0.0,51.21050720035588,2.959086,146.69805390488708,8.454533,0.0,0.0,226.68575527074586,2019.8220000000001,11.015229507440157,2.776365,45.360309496682994,3.929353,37.74197732955521,3.280441,ECO09347,-17.8568,-18.0674,3.656972619543383,1.451719,0.7183,,,,,1.0,1.3006799999999998,,,,,0,5675.54,36.4018,0.368694,-0.11580499999999999,,,,0.1612,0.3117,0.3347,,0.0243,0.0231,0.0886,0.0211,,,0.0558,,,0.0334,,,,,0.0,,,0.0,0.0,,,,0.0474,0.0072,0.0261,0.0113,0.0046,0.11470699999999999,0.0344,0.0645,,,0.0185,,,0.0,1,0.0,,,1.0,2.49084,3.16228,,17.002,6690.0,-17.8568,5675.54,9.1815,8.5345,1.0,,0.0,0.0,0.0,0.0,171.32792015222395,2.588861,59.90486718609228,2.164085,18.553870981769233,2.426133,28.718310956282615,2.171003,7.610173759382889,2.037964,,,16.5893,,,,,,,,0,,9.06348,10.9939,0.0,0.0,0.0,10.9379,8.53,8.45,8.69,8.53,2.49358,2.49084,0.0,0.0,0.365564,0.23146799999999998,1.4909,1.2630299999999999,2.3073,2.02035,0.22304899999999997,0.139738,1.30234,1.08007,2.42767,2.11163,3.2440700000000002,2.86895,1.15982,0.9883370000000001,,L,8.13049,9.296980976965038,3.3291720000000002,6.216891389058402,0.45206660000000004,18.76702071050419,1.363536,18.6676,6.486432219648146,1.422714,0.0,-0.7341930999999999,0.0,-0.7341930999999999,0.0,1.038306,-4.032974401677414,2.056971,32.79462602848112,2.086255,102.50510157778339,3.018754,114.4122,3.077341,,4.178,,,,10.2278,141.835,notinresolve,16.7221,,,,,,,0.18285479999999998,,31.772769927649414,1.6954349999999998,25.887827065445943,1.511364,,,17.8716,,,,,,,16.4383
ECO07597,0.0,15.5735,0.0,15.82252170648636,7.177397,485.4201488636098,26.4235,189.99887135524818,11.52846,48.96180367985206,9.024989999999999,0.0,0.0,13.887744480685795,7.744302,24.693681368870585,5.4635419999999995,92.80458972672236,9.347097999999999,18.41367003577735,1.761471,54.0749047907891,5.180797,66.3276433838019,14.10534,0.0,0.0,128.51955166589448,8.440087,365.4197151294546,24.114539999999998,13964.368456750819,827527.1,0.0,0.0,16.633251390177474,4.514368,79.53110946113563,5.7932760000000005,59.635277944088145,6.011721,ECO07597,-17.9481,-17.9836,21.357671646472394,5.305423,0.5478,,,,,1.0,1.34416,,,,,0,5721.1,4.0014,0.490407,-0.1464,,,,0.0,0.2219,0.0,,0.21899999999999997,0.2056,0.2729,0.2424,,,0.2075,,,0.0836,,,,,110181000.0,,,0.0,0.0,,,,0.1646,0.025,0.0905,0.0392,0.0159,0.39815500000000004,0.1194,0.2238,,,0.0642,,,1.0,1,1.0,,,1.0,4.44641,7.079460000000001,,17.0111,5577.0,-17.9481,5721.1,9.6515,8.4395,1.0,,0.0,0.0,0.0,0.0,309.6376655644423,3.383882,108.26491802952528,2.646897,26.476954982008177,2.533101,52.23750528511333,2.520808,16.48853807105043,1.909993,,ALFALFA,16.5652,,,,,,,,0,,9.628689999999999,11.0099,0.0,0.0,0.0,10.9179,8.43,8.37,8.55,8.43,4.2342,4.44641,3037830000.0,0.0,0.239098,0.188799,1.22975,1.15066,1.9687700000000001,1.86665,0.148586,0.117496,1.15857,1.04159,2.1492299999999998,2.00345,2.88824,2.71944,1.06806,0.970284,,L,7.34312,22.747772189175947,3.318576,11.288311162115102,0.49890609999999996,33.99604166357539,1.504815,18.4836,8.587519066710433,1.482982,0.0,-0.7460148,0.0,-0.7460148,0.0,1.055024,0.17518573534517118,2.084118,69.71676064524111,2.366619,220.01753696505943,3.5994269999999995,176.5557,7.6629,,7.49003,,,,15.3594,146.143,rs0122,16.7315,,,,,,,0.16891241,,47.37146421104552,1.7649290000000002,36.858689736690025,2.286005,,,17.9365,,,,,,,16.5651
